timecode,scene,sfx,broll
00:00,Cold Open,"Low sub-bass bloom; city night air","Empty streets; neon signs"
01:00,Founder Interviews,"Room tone; soft cloth rustle","Hands; notebooks; code on screen"
03:00,First DAO Vote,"UI ticks; gentle keyboard","Wallet confirm; proposal tally"
05:00,Trailer Montage,"Motif rise; whoosh transitions","Global faces; maps; terminals"
07:00,Zion Book,"Soft pads; page turns","Printing press; annotations"
09:00,Early Builders,"Clock ticks; coffee clinks","Garages; late-night calls"
11:00,On-chain Payroll,"Wallet ping; light cheer","Phone lockscreen; smile"
13:00,Commons Rituals,"Crowd murmur; reverb","Townhall; emojis on screen"
15:00,The Map,"Data hum; light pulses","Figma; atlas zoom"
18:00,Act Close,"Long tail pad","Sunrise walk"
20:00,Token Launch,"Muted cheer; data beep","Terminal; graph"
23:00,Nations Go Live,"Soft thumps; chimes","Nation tiles; atlas"
26:00,Global Summit,"Crowd; translator murmur","Stages; audiences"
29:00,Academy Graduation,"Applause; camera shutters","Minting creds; families"
32:00,Treasury Motion,"Data ticks; clicks","Dashboard; milestones"
35:00,DAO Proposals,"UI taps; bar fill","Signature feed"
37:00,Builders' Stories,"Home room; breaths","Work/home scenes"
40:00,Work Passports,"Scan beep; UI ping","QR; contribution graph"
43:00,The Multiplier,"Air rumble; low pad","City flyovers; data overlay"
45:00,Act Close,"Heartbeat; low pad","Stage to black"
46:00,ZionGPT,"Low throb; synthetic tail","Neural UI; dashboards"
49:00,AI Passports,"Confirm ping; soft chime","Proof UIs"
52:00,Nation-builder,"Clicks; page transitions","Wizard; templates"
55:00,Global Multiverse,"Wide pad; airy tail","Atlas zoom-out"
58:00,Closing,"Final swell; silence","Faces; black"